lent,return,lent_stationName,return_stationName,url
2164,2171,관악우체국,서울대입구역 5번출구,http://map.daum.net/?sName=관악우체국 대여소&eName=서울대입구역 5번출구 대여소&target=bicycle
2102,2110,봉림교 교통섬,조원동 미성아파트,http://map.daum.net/?sName=봉림교 교통섬 대여소&eName=조원동 미성아파트 대여소&target=bicycle
2102,2106,봉림교 교통섬,난곡 새마을금고,http://map.daum.net/?sName=봉림교 교통섬 대여소&eName=난곡 새마을금고 대여소&target=bicycle
1955,2106,디지털입구 교차로,난곡 새마을금고,http://map.daum.net/?sName=디지털입구 교차로 대여소&eName=난곡 새마을금고 대여소&target=bicycle
2105,2106,미성동 신림체육센터,난곡 새마을금고,http://map.daum.net/?sName=미성동 신림체육센터 대여소&eName=난곡 새마을금고 대여소&target=bicycle
2102,2115,봉림교 교통섬,관악농협농산물백화점,http://map.daum.net/?sName=봉림교 교통섬 대여소&eName=관악농협농산물백화점 대여소&target=bicycle
1911,2115,구로디지털단지역 앞,관악농협농산물백화점,http://map.daum.net/?sName=구로디지털단지역 앞 대여소&eName=관악농협농산물백화점 대여소&target=bicycle
2110,2115,조원동 미성아파트,관악농협농산물백화점,http://map.daum.net/?sName=조원동 미성아파트 대여소&eName=관악농협농산물백화점 대여소&target=bicycle
2102,2156,봉림교 교통섬,농협 관악문성지점,http://map.daum.net/?sName=봉림교 교통섬 대여소&eName=농협 관악문성지점 대여소&target=bicycle
1911,2156,구로디지털단지역 앞,농협 관악문성지점,http://map.daum.net/?sName=구로디지털단지역 앞 대여소&eName=농협 관악문성지점 대여소&target=bicycle
2106,2156,난곡 새마을금고,농협 관악문성지점,http://map.daum.net/?sName=난곡 새마을금고 대여소&eName=농협 관악문성지점 대여소&target=bicycle
905,945,구파발역 2번출구,기자촌 사거리,http://map.daum.net/?sName=구파발역 2번출구 대여소&eName=기자촌 사거리 대여소&target=bicycle
905,941,구파발역 2번출구,은평뉴타운 도서관,http://map.daum.net/?sName=구파발역 2번출구 대여소&eName=은평뉴타운 도서관 대여소&target=bicycle
905,924,구파발역 2번출구,메뚜기다리,http://map.daum.net/?sName=구파발역 2번출구 대여소&eName=메뚜기다리 대여소&target=bicycle
905,921,구파발역 2번출구,신도고등학교,http://map.daum.net/?sName=구파발역 2번출구 대여소&eName=신도고등학교 대여소&target=bicycle
905,928,구파발역 2번출구,은평역사한옥박물관,http://map.daum.net/?sName=구파발역 2번출구 대여소&eName=은평역사한옥박물관 대여소&target=bicycle
1008,1014,암사역 3번출구(국민은행앞),강동구평생학습관앞,http://map.daum.net/?sName=암사역 3번출구(국민은행앞) 대여소&eName=강동구평생학습관앞 대여소&target=bicycle
1004,1014,삼성광나루아파트 버스정류장,강동구평생학습관앞,http://map.daum.net/?sName=삼성광나루아파트 버스정류장 대여소&eName=강동구평생학습관앞 대여소&target=bicycle
1001,1014,광진교 남단 사거리(디지털프라자앞),강동구평생학습관앞,http://map.daum.net/?sName=광진교 남단 사거리(디지털프라자앞) 대여소&eName=강동구평생학습관앞 대여소&target=bicycle
1010,1014,강동세무서,강동구평생학습관앞,http://map.daum.net/?sName=강동세무서 대여소&eName=강동구평생학습관앞 대여소&target=bicycle
1009,1014,천호역4번출구(현대백화점),강동구평생학습관앞,http://map.daum.net/?sName=천호역4번출구(현대백화점) 대여소&eName=강동구평생학습관앞 대여소&target=bicycle
1008,1012,암사역 3번출구(국민은행앞),서울 상운차량,http://map.daum.net/?sName=암사역 3번출구(국민은행앞) 대여소&eName=서울 상운차량 대여소&target=bicycle
1008,1044,암사역 3번출구(국민은행앞),굽은다리역,http://map.daum.net/?sName=암사역 3번출구(국민은행앞) 대여소&eName=굽은다리역 대여소&target=bicycle
1029,1044,롯데 시네마,굽은다리역,http://map.daum.net/?sName=롯데 시네마 대여소&eName=굽은다리역 대여소&target=bicycle
1033,1044,고덕동 아남아파트,굽은다리역,http://map.daum.net/?sName=고덕동 아남아파트 대여소&eName=굽은다리역 대여소&target=bicycle
1027,1044,프라자 아파트 앞,굽은다리역,http://map.daum.net/?sName=프라자 아파트 앞 대여소&eName=굽은다리역 대여소&target=bicycle
1008,1264,암사역 3번출구(국민은행앞),천호역 10번 출구 앞,http://map.daum.net/?sName=암사역 3번출구(국민은행앞) 대여소&eName=천호역 10번 출구 앞 대여소&target=bicycle
1028,1264,포레스 주상복합 빌딩,천호역 10번 출구 앞,http://map.daum.net/?sName=포레스 주상복합 빌딩 대여소&eName=천호역 10번 출구 앞 대여소&target=bicycle
1011,1264,LIGA 아파트 앞,천호역 10번 출구 앞,http://map.daum.net/?sName=LIGA 아파트 앞 대여소&eName=천호역 10번 출구 앞 대여소&target=bicycle
1008,1010,암사역 3번출구(국민은행앞),강동세무서,http://map.daum.net/?sName=암사역 3번출구(국민은행앞) 대여소&eName=강동세무서 대여소&target=bicycle
1004,1051,삼성광나루아파트 버스정류장,양지시장 (용성약국앞) 입구,http://map.daum.net/?sName=삼성광나루아파트 버스정류장 대여소&eName=양지시장 (용성약국앞) 입구 대여소&target=bicycle
1001,1051,광진교 남단 사거리(디지털프라자앞),양지시장 (용성약국앞) 입구,http://map.daum.net/?sName=광진교 남단 사거리(디지털프라자앞) 대여소&eName=양지시장 (용성약국앞) 입구 대여소&target=bicycle
1014,1051,강동구평생학습관앞,양지시장 (용성약국앞) 입구,http://map.daum.net/?sName=강동구평생학습관앞 대여소&eName=양지시장 (용성약국앞) 입구 대여소&target=bicycle
1004,1033,삼성광나루아파트 버스정류장,고덕동 아남아파트,http://map.daum.net/?sName=삼성광나루아파트 버스정류장 대여소&eName=고덕동 아남아파트 대여소&target=bicycle
1004,1009,삼성광나루아파트 버스정류장,천호역4번출구(현대백화점),http://map.daum.net/?sName=삼성광나루아파트 버스정류장 대여소&eName=천호역4번출구(현대백화점) 대여소&target=bicycle
2353,2365,강남구청역 2번출구 뒤,K+ 타워 앞,http://map.daum.net/?sName=강남구청역 2번출구 뒤 대여소&eName=K+ 타워 앞 대여소&target=bicycle
302,446,경복궁역 4번출구 뒤,상명대입구,http://map.daum.net/?sName=경복궁역 4번출구 뒤 대여소&eName=상명대입구 대여소&target=bicycle
117,446,홍은사거리,상명대입구,http://map.daum.net/?sName=홍은사거리 대여소&eName=상명대입구 대여소&target=bicycle
123,446,문화촌 공원,상명대입구,http://map.daum.net/?sName=문화촌 공원 대여소&eName=상명대입구 대여소&target=bicycle
302,310,경복궁역 4번출구 뒤,청계광장 옆,http://map.daum.net/?sName=경복궁역 4번출구 뒤 대여소&eName=청계광장 옆 대여소&target=bicycle
300,310,정동사거리,청계광장 옆,http://map.daum.net/?sName=정동사거리 대여소&eName=청계광장 옆 대여소&target=bicycle
303,310,광화문역 1번출구 앞,청계광장 옆,http://map.daum.net/?sName=광화문역 1번출구 앞 대여소&eName=청계광장 옆 대여소&target=bicycle
207,225,여의나루역 1번출구 앞,앙카라공원 앞,http://map.daum.net/?sName=여의나루역 1번출구 앞 대여소&eName=앙카라공원 앞 대여소&target=bicycle
224,225,롯데캐슬 앞,앙카라공원 앞,http://map.daum.net/?sName=롯데캐슬 앞 대여소&eName=앙카라공원 앞 대여소&target=bicycle
221,225,여의도초교 앞,앙카라공원 앞,http://map.daum.net/?sName=여의도초교 앞 대여소&eName=앙카라공원 앞 대여소&target=bicycle
223,225,진주아파트상가 앞,앙카라공원 앞,http://map.daum.net/?sName=진주아파트상가 앞 대여소&eName=앙카라공원 앞 대여소&target=bicycle
207,2102,여의나루역 1번출구 앞,봉림교 교통섬,http://map.daum.net/?sName=여의나루역 1번출구 앞 대여소&eName=봉림교 교통섬 대여소&target=bicycle
1955,2102,디지털입구 교차로,봉림교 교통섬,http://map.daum.net/?sName=디지털입구 교차로 대여소&eName=봉림교 교통섬 대여소&target=bicycle
